webserver_type,number_of_clients,total_time_taken,average_throughput
single_thread,10,7475,0.00133779264214046822742474916388
single_thread,100,78767,0.0012695672045399723234349410286
single_thread,1000,803313,0.00124484478652779178228162621544
thread_per_task,10,2885,0.00346620450606585788561525129983
thread_per_task,100,37788,0.00264634275431353868953106806394
thread_per_task,1000,376583,0.00265545709710741058412089765072
